# start_id,start_x,start_y,end_id,end_x,end_y,weight
N0_0,0.0,0.0,N1_0,100.0,0.0,1.0
N0_0,0.0,0.0,N0_1,0.0,100.0,1.0
N0_1,0.0,100.0,N1_1,100.0,100.0,1.0
N0_1,0.0,100.0,N0_2,0.0,200.0,1.0
N0_2,0.0,200.0,N1_2,100.0,200.0,1.0
N0_2,0.0,200.0,N0_3,0.0,300.0,1.0
N0_3,0.0,300.0,N1_3,100.0,300.0,1.0
N0_3,0.0,300.0,N0_4,0.0,400.0,1.0
N0_4,0.0,400.0,N1_4,100.0,400.0,1.0
N0_4,0.0,400.0,N0_5,0.0,500.0,1.0
N0_5,0.0,500.0,N1_5,100.0,500.0,1.0
N0_5,0.0,500.0,N0_6,0.0,600.0,1.0
N0_6,0.0,600.0,N1_6,100.0,600.0,1.0
N0_6,0.0,600.0,N0_7,0.0,700.0,1.0
N0_7,0.0,700.0,N1_7,100.0,700.0,1.0
N0_7,0.0,700.0,N0_8,0.0,800.0,1.0
N0_8,0.0,800.0,N1_8,100.0,800.0,1.0
N0_8,0.0,800.0,N0_9,0.0,900.0,1.0
N0_9,0.0,900.0,N1_9,100.0,900.0,1.0
N1_0,100.0,0.0,N2_0,200.0,0.0,1.0
N1_0,100.0,0.0,N1_1,100.0,100.0,1.0
N1_1,100.0,100.0,N2_1,200.0,100.0,1.0
N1_1,100.0,100.0,N1_2,100.0,200.0,1.0
N1_2,100.0,200.0,N2_2,200.0,200.0,1.0
N1_2,100.0,200.0,N1_3,100.0,300.0,1.0
N1_3,100.0,300.0,N2_3,200.0,300.0,1.0
N1_3,100.0,300.0,N1_4,100.0,400.0,1.0
N1_4,100.0,400.0,N2_4,200.0,400.0,1.0
N1_4,100.0,400.0,N1_5,100.0,500.0,1.0
N1_5,100.0,500.0,N2_5,200.0,500.0,1.0
N1_5,100.0,500.0,N1_6,100.0,600.0,1.0
N1_6,100.0,600.0,N2_6,200.0,600.0,1.0
N1_6,100.0,600.0,N1_7,100.0,700.0,1.0
N1_7,100.0,700.0,N2_7,200.0,700.0,1.0
N1_7,100.0,700.0,N1_8,100.0,800.0,1.0
N1_8,100.0,800.0,N2_8,200.0,800.0,1.0
N1_8,100.0,800.0,N1_9,100.0,900.0,1.0
N1_9,100.0,900.0,N2_9,200.0,900.0,1.0
N2_0,200.0,0.0,N3_0,300.0,0.0,1.0
N2_0,200.0,0.0,N2_1,200.0,100.0,1.0
N2_1,200.0,100.0,N3_1,300.0,100.0,1.0
N2_1,200.0,100.0,N2_2,200.0,200.0,1.0
N2_2,200.0,200.0,N3_2,300.0,200.0,1.0
N2_2,200.0,200.0,N2_3,200.0,300.0,1.0
N2_3,200.0,300.0,N3_3,300.0,300.0,1.0
N2_3,200.0,300.0,N2_4,200.0,400.0,1.0
N2_4,200.0,400.0,N3_4,300.0,400.0,1.0
N2_4,200.0,400.0,N2_5,200.0,500.0,1.0
N2_5,200.0,500.0,N3_5,300.0,500.0,1.0
N2_5,200.0,500.0,N2_6,200.0,600.0,1.0
N2_6,200.0,600.0,N3_6,300.0,600.0,1.0
N2_6,200.0,600.0,N2_7,200.0,700.0,1.0
N2_7,200.0,700.0,N3_7,300.0,700.0,1.0
N2_7,200.0,700.0,N2_8,200.0,800.0,1.0
N2_8,200.0,800.0,N3_8,300.0,800.0,1.0
N2_8,200.0,800.0,N2_9,200.0,900.0,1.0
N2_9,200.0,900.0,N3_9,300.0,900.0,1.0
N3_0,300.0,0.0,N4_0,400.0,0.0,1.0
N3_0,300.0,0.0,N3_1,300.0,100.0,1.0
N3_1,300.0,100.0,N4_1,400.0,100.0,1.0
N3_1,300.0,100.0,N3_2,300.0,200.0,1.0
N3_2,300.0,200.0,N4_2,400.0,200.0,1.0
N3_2,300.0,200.0,N3_3,300.0,300.0,1.0
N3_3,300.0,300.0,N4_3,400.0,300.0,1.0
N3_3,300.0,300.0,N3_4,300.0,400.0,1.0
N3_4,300.0,400.0,N4_4,400.0,400.0,1.0
N3_4,300.0,400.0,N3_5,300.0,500.0,1.0
N3_5,300.0,500.0,N4_5,400.0,500.0,1.0
N3_5,300.0,500.0,N3_6,300.0,600.0,1.0
N3_6,300.0,600.0,N4_6,400.0,600.0,1.0
N3_6,300.0,600.0,N3_7,300.0,700.0,1.0
N3_7,300.0,700.0,N4_7,400.0,700.0,1.0
N3_7,300.0,700.0,N3_8,300.0,800.0,1.0
N3_8,300.0,800.0,N4_8,400.0,800.0,1.0
N3_8,300.0,800.0,N3_9,300.0,900.0,1.0
N3_9,300.0,900.0,N4_9,400.0,900.0,1.0
N4_0,400.0,0.0,N5_0,500.0,0.0,1.0
N4_0,400.0,0.0,N4_1,400.0,100.0,1.0
N4_1,400.0,100.0,N5_1,500.0,100.0,1.0
N4_1,400.0,100.0,N4_2,400.0,200.0,1.0
N4_2,400.0,200.0,N5_2,500.0,200.0,1.0
N4_2,400.0,200.0,N4_3,400.0,300.0,1.0
N4_3,400.0,300.0,N5_3,500.0,300.0,1.0
N4_3,400.0,300.0,N4_4,400.0,400.0,1.0
N4_4,400.0,400.0,N5_4,500.0,400.0,1.0
N4_4,400.0,400.0,N4_5,400.0,500.0,1.0
N4_5,400.0,500.0,N5_5,500.0,500.0,1.0
N4_5,400.0,500.0,N4_6,400.0,600.0,1.0
N4_6,400.0,600.0,N5_6,500.0,600.0,1.0
N4_6,400.0,600.0,N4_7,400.0,700.0,1.0
N4_7,400.0,700.0,N5_7,500.0,700.0,1.0
N4_7,400.0,700.0,N4_8,400.0,800.0,1.0
N4_8,400.0,800.0,N5_8,500.0,800.0,1.0
N4_8,400.0,800.0,N4_9,400.0,900.0,1.0
N4_9,400.0,900.0,N5_9,500.0,900.0,1.0
N5_0,500.0,0.0,N6_0,600.0,0.0,1.0
N5_0,500.0,0.0,N5_1,500.0,100.0,1.0
N5_1,500.0,100.0,N6_1,600.0,100.0,1.0
N5_1,500.0,100.0,N5_2,500.0,200.0,1.0
N5_2,500.0,200.0,N6_2,600.0,200.0,1.0
N5_2,500.0,200.0,N5_3,500.0,300.0,1.0
N5_3,500.0,300.0,N6_3,600.0,300.0,1.0
N5_3,500.0,300.0,N5_4,500.0,400.0,1.0
N5_4,500.0,400.0,N6_4,600.0,400.0,1.0
N5_4,500.0,400.0,N5_5,500.0,500.0,1.0
N5_5,500.0,500.0,N6_5,600.0,500.0,1.0
N5_5,500.0,500.0,N5_6,500.0,600.0,1.0
N5_6,500.0,600.0,N6_6,600.0,600.0,1.0
N5_6,500.0,600.0,N5_7,500.0,700.0,1.0
N5_7,500.0,700.0,N6_7,600.0,700.0,1.0
N5_7,500.0,700.0,N5_8,500.0,800.0,1.0
N5_8,500.0,800.0,N6_8,600.0,800.0,1.0
N5_8,500.0,800.0,N5_9,500.0,900.0,1.0
N5_9,500.0,900.0,N6_9,600.0,900.0,1.0
N6_0,600.0,0.0,N7_0,700.0,0.0,1.0
N6_0,600.0,0.0,N6_1,600.0,100.0,1.0
N6_1,600.0,100.0,N7_1,700.0,100.0,1.0
N6_1,600.0,100.0,N6_2,600.0,200.0,1.0
N6_2,600.0,200.0,N7_2,700.0,200.0,1.0
N6_2,600.0,200.0,N6_3,600.0,300.0,1.0
N6_3,600.0,300.0,N7_3,700.0,300.0,1.0
N6_3,600.0,300.0,N6_4,600.0,400.0,1.0
N6_4,600.0,400.0,N7_4,700.0,400.0,1.0
N6_4,600.0,400.0,N6_5,600.0,500.0,1.0
N6_5,600.0,500.0,N7_5,700.0,500.0,1.0
N6_5,600.0,500.0,N6_6,600.0,600.0,1.0
N6_6,600.0,600.0,N7_6,700.0,600.0,1.0
N6_6,600.0,600.0,N6_7,600.0,700.0,1.0
N6_7,600.0,700.0,N7_7,700.0,700.0,1.0
N6_7,600.0,700.0,N6_8,600.0,800.0,1.0
N6_8,600.0,800.0,N7_8,700.0,800.0,1.0
N6_8,600.0,800.0,N6_9,600.0,900.0,1.0
N6_9,600.0,900.0,N7_9,700.0,900.0,1.0
N7_0,700.0,0.0,N8_0,800.0,0.0,1.0
N7_0,700.0,0.0,N7_1,700.0,100.0,1.0
N7_1,700.0,100.0,N8_1,800.0,100.0,1.0
N7_1,700.0,100.0,N7_2,700.0,200.0,1.0
N7_2,700.0,200.0,N8_2,800.0,200.0,1.0
N7_2,700.0,200.0,N7_3,700.0,300.0,1.0
N7_3,700.0,300.0,N8_3,800.0,300.0,1.0
N7_3,700.0,300.0,N7_4,700.0,400.0,1.0
N7_4,700.0,400.0,N8_4,800.0,400.0,1.0
N7_4,700.0,400.0,N7_5,700.0,500.0,1.0
N7_5,700.0,500.0,N8_5,800.0,500.0,1.0
N7_5,700.0,500.0,N7_6,700.0,600.0,1.0
N7_6,700.0,600.0,N8_6,800.0,600.0,1.0
N7_6,700.0,600.0,N7_7,700.0,700.0,1.0
N7_7,700.0,700.0,N8_7,800.0,700.0,1.0
N7_7,700.0,700.0,N7_8,700.0,800.0,1.0
N7_8,700.0,800.0,N8_8,800.0,800.0,1.0
N7_8,700.0,800.0,N7_9,700.0,900.0,1.0
N7_9,700.0,900.0,N8_9,800.0,900.0,1.0
N8_0,800.0,0.0,N9_0,900.0,0.0,1.0
N8_0,800.0,0.0,N8_1,800.0,100.0,1.0
N8_1,800.0,100.0,N9_1,900.0,100.0,1.0
N8_1,800.0,100.0,N8_2,800.0,200.0,1.0
N8_2,800.0,200.0,N9_2,900.0,200.0,1.0
N8_2,800.0,200.0,N8_3,800.0,300.0,1.0
N8_3,800.0,300.0,N9_3,900.0,300.0,1.0
N8_3,800.0,300.0,N8_4,800.0,400.0,1.0
N8_4,800.0,400.0,N9_4,900.0,400.0,1.0
N8_4,800.0,400.0,N8_5,800.0,500.0,1.0
N8_5,800.0,500.0,N9_5,900.0,500.0,1.0
N8_5,800.0,500.0,N8_6,800.0,600.0,1.0
N8_6,800.0,600.0,N9_6,900.0,600.0,1.0
N8_6,800.0,600.0,N8_7,800.0,700.0,1.0
N8_7,800.0,700.0,N9_7,900.0,700.0,1.0
N8_7,800.0,700.0,N8_8,800.0,800.0,1.0
N8_8,800.0,800.0,N9_8,900.0,800.0,1.0
N8_8,800.0,800.0,N8_9,800.0,900.0,1.0
N8_9,800.0,900.0,N9_9,900.0,900.0,1.0
N9_0,900.0,0.0,N9_1,900.0,100.0,1.0
N9_1,900.0,100.0,N9_2,900.0,200.0,1.0
N9_2,900.0,200.0,N9_3,900.0,300.0,1.0
N9_3,900.0,300.0,N9_4,900.0,400.0,1.0
N9_4,900.0,400.0,N9_5,900.0,500.0,1.0
N9_5,900.0,500.0,N9_6,900.0,600.0,1.0
N9_6,900.0,600.0,N9_7,900.0,700.0,1.0
N9_7,900.0,700.0,N9_8,900.0,800.0,1.0
N9_8,900.0,800.0,N9_9,900.0,900.0,1.0
