# start_id,start_x,start_y,end_id,end_x,end_y,weight
N0_0,0.0,0.0,N1_0,100.0,0.0,1.0
N0_0,0.0,0.0,N0_1,0.0,100.0,1.0
N0_1,0.0,100.0,N1_1,100.0,100.0,1.0
N0_1,0.0,100.0,N0_2,0.0,200.0,1.0
N0_2,0.0,200.0,N1_2,100.0,200.0,1.0
N0_2,0.0,200.0,N0_3,0.0,300.0,1.0
N0_3,0.0,300.0,N1_3,100.0,300.0,1.0
N0_3,0.0,300.0,N0_4,0.0,400.0,1.0
N0_4,0.0,400.0,N1_4,100.0,400.0,1.0
N1_0,100.0,0.0,N2_0,200.0,0.0,1.0
N1_0,100.0,0.0,N1_1,100.0,100.0,1.0
N1_1,100.0,100.0,N2_1,200.0,100.0,1.0
N1_1,100.0,100.0,N1_2,100.0,200.0,1.0
N1_2,100.0,200.0,N2_2,200.0,200.0,1.0
N1_2,100.0,200.0,N1_3,100.0,300.0,1.0
N1_3,100.0,300.0,N2_3,200.0,300.0,1.0
N1_3,100.0,300.0,N1_4,100.0,400.0,1.0
N1_4,100.0,400.0,N2_4,200.0,400.0,1.0
N2_0,200.0,0.0,N3_0,300.0,0.0,1.0
N2_0,200.0,0.0,N2_1,200.0,100.0,1.0
N2_1,200.0,100.0,N3_1,300.0,100.0,1.0
N2_1,200.0,100.0,N2_2,200.0,200.0,1.0
N2_2,200.0,200.0,N3_2,300.0,200.0,1.0
N2_2,200.0,200.0,N2_3,200.0,300.0,1.0
N2_3,200.0,300.0,N3_3,300.0,300.0,1.0
N2_3,200.0,300.0,N2_4,200.0,400.0,1.0
N2_4,200.0,400.0,N3_4,300.0,400.0,1.0
N3_0,300.0,0.0,N4_0,400.0,0.0,1.0
N3_0,300.0,0.0,N3_1,300.0,100.0,1.0
N3_1,300.0,100.0,N4_1,400.0,100.0,1.0
N3_1,300.0,100.0,N3_2,300.0,200.0,1.0
N3_2,300.0,200.0,N4_2,400.0,200.0,1.0
N3_2,300.0,200.0,N3_3,300.0,300.0,1.0
N3_3,300.0,300.0,N4_3,400.0,300.0,1.0
N3_3,300.0,300.0,N3_4,300.0,400.0,1.0
N3_4,300.0,400.0,N4_4,400.0,400.0,1.0
N4_0,400.0,0.0,N4_1,400.0,100.0,1.0
N4_1,400.0,100.0,N4_2,400.0,200.0,1.0
N4_2,400.0,200.0,N4_3,400.0,300.0,1.0
N4_3,400.0,300.0,N4_4,400.0,400.0,1.0
